Tarih,AutomobileProduction
 2009-09 ,50320
 2009-10 ,45452
 2009-11 ,41635
 2009-12 ,48917
 2010-01 ,46810
 2010-02 ,46365
 2010-03 ,55755
 2010-04 ,51459
 2010-05 ,57433
 2010-06 ,54660
 2010-07 ,47516
 2010-08 ,29192
 2010-09 ,54046
 2010-10 ,58059
 2010-11 ,45453
 2010-12 ,56646
 2011-01 ,51461
 2011-02 ,54462
 2011-03 ,62873
 2011-04 ,54096
 2011-05 ,54197
 2011-06 ,58694
 2011-07 ,57395
 2011-08 ,26132
 2011-09 ,57427
 2011-10 ,60172
 2011-11 ,51759
 2011-12 ,51066
 2012-01 ,45703
 2012-02 ,53515
 2012-03 ,55261
 2012-04 ,48800
 2012-05 ,55662
 2012-06 ,49982
 2012-07 ,43819
 2012-08 ,21157
 2012-09 ,54295
 2012-10 ,51226
 2012-11 ,53168
 2012-12 ,44708
 2013-01 ,40071
 2013-02 ,48821
 2013-03 ,53534
 2013-04 ,51211
 2013-05 ,54157
 2013-06 ,55989
 2013-07 ,65411
 2013-08 ,30137
 2013-09 ,65199
 2013-10 ,51984
 2013-11 ,66155
 2013-12 ,50935
 2014-01 ,52006
 2014-02 ,53250
 2014-03 ,61203
 2014-04 ,63761
 2014-05 ,63658
 2014-06 ,67013
 2014-07 ,61151
 2014-08 ,37330
 2014-09 ,72120
 2014-10 ,62001
 2014-11 ,69466
 2014-12 ,70480
 2015-01 ,60414
 2015-02 ,65238
 2015-03 ,72781
 2015-04 ,67277
 2015-05 ,52339
 2015-06 ,73928
 2015-07 ,62465
 2015-08 ,45210
 2015-09 ,66572
 2015-10 ,77243
 2015-11 ,72872
 2015-12 ,74688
 2016-01 ,58205
 2016-02 ,72740
 2016-03 ,77051
 2016-04 ,74625
 2016-05 ,76570
 2016-06 ,82175
 2016-07 ,69030
 2016-08 ,52296
 2016-09 ,78439
 2016-10 ,98008
 2016-11 ,104737
 2016-12 ,106963
 2017-01 ,93683
 2017-02 ,97129
 2017-03 ,109443
 2017-04 ,101839
 2017-05 ,104653
 2017-06 ,94839
 2017-07 ,97985
 2017-08 ,50453
 2017-09 ,88952
 2017-10 ,102404
 2017-11 ,106487
 2017-12 ,72993
 2018-01 ,85368
 2018-02 ,94113
 2018-03 ,105687
 2018-04 ,90789
 2018-05 ,95677
 2018-06 ,85635
 2018-07 ,96511
 2018-08 ,29289
 2018-09 ,86395
 2018-10 ,89151
 2018-11 ,85666
 2018-12 ,82157
 2019-01 ,71397
 2019-02 ,80077
 2019-03 ,87348
 2019-04 ,83459
 2019-05 ,96345
 2019-06 ,74074
 2019-07 ,86235
 2019-08 ,31287
 2019-09 ,90359
 2019-10 ,93575
 2019-11 ,93495
 2019-12 ,94991
 2020-01 ,75396
 2020-02 ,87589
 2020-03 ,72093
 2020-04 ,9661
 2020-05 ,43264
 2020-06 ,74264
 2020-07 ,77706
 2020-08 ,45211
 2020-09 ,90447
 2020-10 ,95915
 2020-11 ,91067
 2020-12 ,92300
 2021-01 ,68777
 2021-02 ,68105
 2021-03 ,74995
 2021-04 ,76334
 2021-05 ,66976
 2021-06 ,62441
 2021-07 ,33529
 2021-08 ,59539
 2021-09 ,59335
 2021-10 ,64637
 2021-11 ,70974
 2021-12 ,76570
 2022-01 ,47778
 2022-02 ,61544
