 Tarih ,BRENT PETROL EUBP
 2009-09 ,65.82
 2009-10 ,74.91
 2009-11 ,77.77
 2009-12 ,77.91
 2010-01 ,71.20
 2010-02 ,76.36
 2010-03 ,80.37
 2010-04 ,86.19
 2010-05 ,73.00
 2010-06 ,74.94
 2010-07 ,77.50
 2010-08 ,75.51
 2010-09 ,80.77
 2010-10 ,82.47
 2010-11 ,86.02
 2010-12 ,93.23
 2011-01 ,98.97
 2011-02 ,112.27
 2011-03 ,116.94
 2011-04 ,126.59
 2011-05 ,117.18
 2011-06 ,111.71
 2011-07 ,115.93
 2011-08 ,116.48
 2011-09 ,105.42
 2011-10 ,108.43
 2011-11 ,111.22
 2011-12 ,108.09
 2012-01 ,110.26
 2012-02 ,122.23
 2012-03 ,123.41
 2012-04 ,118.66
 2012-05 ,103.86
 2012-06 ,94.17
 2012-07 ,105.93
 2012-08 ,113.93
 2012-09 ,111.36
 2012-10 ,109.89
 2012-11 ,110.84
 2012-12 ,110.80
 2013-01 ,115.55
 2013-02 ,112.20
 2013-03 ,108.46
 2013-04 ,101.53
 2013-05 ,100.43
 2013-06 ,102.49
 2013-07 ,107.89
 2013-08 ,115.97
 2013-09 ,107.85
 2013-10 ,107.53
 2013-11 ,111.07
 2013-12 ,109.95
 2014-01 ,108.16
 2014-02 ,108.98
 2014-03 ,105.95
 2014-04 ,108.63
 2014-05 ,109.21
 2014-06 ,111.03
 2014-07 ,104.94
 2014-08 ,101.12
 2014-09 ,94.67
 2014-10 ,84.17
 2014-11 ,71.89
 2014-12 ,55.27
 2015-01 ,47.52
 2015-02 ,61.89
 2015-03 ,53.69
 2015-04 ,63.90
 2015-05 ,63.16
 2015-06 ,60.31
 2015-07 ,53.29
 2015-08 ,47.97
 2015-09 ,47.29
 2015-10 ,48.00
 2015-11 ,43.73
 2015-12 ,36.61
 2016-01 ,33.14
 2016-02 ,35.92
 2016-03 ,36.75
 2016-04 ,45.64
 2016-05 ,49.26
 2016-06 ,48.05
 2016-07 ,40.76
 2016-08 ,47.94
 2016-09 ,48.24
 2016-10 ,46.20
 2016-11 ,47.95
 2016-12 ,54.96
 2017-01 ,55.25
 2017-02 ,53.36
 2017-03 ,52.20
 2017-04 ,49.46
 2017-05 ,49.40
 2017-06 ,47.08
 2017-07 ,51.99
 2017-08 ,52.69
 2017-09 ,57.02
 2017-10 ,61.35
 2017-11 ,63.53
 2017-12 ,66.73
 2018-01 ,67.78
 2018-02 ,66.08
 2018-03 ,69.02
 2018-04 ,75.92
 2018-05 ,76.45
 2018-06 ,77.44
 2018-07 ,74.16
 2018-08 ,76.94
 2018-09 ,82.72
 2018-10 ,74.84
 2018-11 ,57.71
 2018-12 ,50.57
 2019-01 ,62.46
 2019-02 ,65.03
 2019-03 ,67.93
 2019-04 ,72.19
 2019-05 ,66.78
 2019-06 ,67.52
 2019-07 ,64.07
 2019-08 ,61.04
 2019-09 ,60.99
 2019-10 ,59.30
 2019-11 ,64.50
 2019-12 ,67.77
 2020-01 ,57.77
 2020-02 ,51.31
 2020-03 ,14.85
 2020-04 ,18.11
 2020-05 ,34.15
 2020-06 ,41.64
 2020-07 ,43.13
 2020-08 ,45.22
 2020-09 ,40.30
 2020-10 ,36.33
 2020-11 ,46.84
 2020-12 ,51.22
 2021-01 ,55.25
 2021-02 ,65.86
 2021-03 ,63.52
 2021-04 ,67.73
 2021-05 ,69.36
 2021-06 ,76.94
 2021-07 ,77.72
 2021-08 ,73.45
 2021-09 ,77.81
 2021-10 ,83.10
 2021-11 ,70.86
 2021-12 ,77.24
 2022-01 ,92.35
 2022-02 ,103.08
